                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.2133,                0.73669,                 1.0083,                0.93982,                0.89125,                0.91722,                0.59221,                 1.2211,                0.72749,                 1.0144,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1924,                0.78172,                0.99704,                0.93982,                0.89125,                0.91722,                0.59221,                 1.2211,                0.72749,                 1.0144,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2681,                0.81119,                 1.0308,                0.93559,                  0.895,                0.92146,                0.60466,                 1.1877,                 0.7236,                 1.0003,               0.000416,               0.000416,               0.000416
                     83,                  1.212,                0.79898,                 1.0048,                0.93559,                  0.895,                0.92146,                0.60466,                 1.1877,                 0.7236,                 1.0003,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2049,                0.76338,                0.95396,                0.93559,                  0.895,                0.92146,                0.60466,                 1.1877,                 0.7236,                 1.0003,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2144,                 0.7579,                 1.0163,                0.93738,                0.89811,                0.92323,                0.62362,                 1.1404,                0.71601,                0.98301,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2285,                0.77803,                0.99983,                0.93738,                0.89811,                0.92323,                0.62362,                 1.1404,                0.71601,                0.98301,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2117,                0.83052,                0.94225,                0.93738,                0.89811,                0.92323,                0.62362,                 1.1404,                0.71601,                0.98301,               0.000317,               0.000317,               0.000317
                     88,                 1.2057,                0.74549,                0.99502,                0.93738,                0.89811,                0.92323,                0.62362,                 1.1404,                0.71601,                0.98301,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2469,                0.80497,                 0.9683,                0.93983,                0.89813,                0.92444,                0.63545,                 1.1239,                0.71377,                0.97646,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2418,                0.78293,                0.98377,                0.93983,                0.89813,                0.92444,                0.63545,                 1.1239,                0.71377,                0.97646,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1388,                0.87721,                0.98581,                0.93983,                0.89813,                0.92444,                0.63545,                 1.1239,                0.71377,                0.97646,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.158,                0.80767,                 1.0226,                0.93815,                0.89119,                0.92543,                0.63414,                 1.1346,                0.71235,                0.98047,               0.000218,               0.000218,               0.000218
                     93,                 1.1754,                0.85153,                 0.9584,                0.93815,                0.89119,                0.92543,                0.63414,                 1.1346,                0.71235,                0.98047,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1263,                 0.8959,                  1.004,                0.93815,                0.89119,                0.92543,                0.63414,                 1.1346,                0.71235,                0.98047,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.1153,                0.84704,                 1.0078,                 0.9385,                0.89649,                0.92496,                0.63297,                 1.1369,                0.70473,                0.98588,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1555,                0.85462,                 1.0277,                 0.9385,                0.89649,                0.92496,                0.63297,                 1.1369,                0.70473,                0.98588,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1702,                0.74653,                 1.0351,                 0.9385,                0.89649,                0.92496,                0.63297,                 1.1369,                0.70473,                0.98588,               0.000119,               0.000119,               0.000119
                     98,                 1.1888,                0.79838,                 1.0125,                0.93416,                 0.8975,                0.92423,                0.63302,                 1.1368,                 0.7105,                 0.9896,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0967,                0.83287,                0.99699,                0.93416,                 0.8975,                0.92423,                0.63302,                 1.1368,                 0.7105,                 0.9896,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1251,                0.94674,                 0.9826,                0.93416,                 0.8975,                0.92423,                0.63302,                 1.1368,                 0.7105,                 0.9896,               5.96e-05,               5.96e-05,               5.96e-05
